Order ID,Customer Name,City,Category,Product Name,Quantity,Unit Price,Order Date,Payment Mode,Discount %,Returned
1,Kiran,Mumbai,Groceries,Product-4,two,,24-11-2023,UPI,,NO
,Divya,Mumbai,electronics,Product-18,2,,17-01-2023,CASH,10%,No
3,Ravi,Hyderabad,GROCERIES,Product-9,2,200,18-08-2023,Card,5,Yes
4,Meena,Delhi,,,4,250,14-07-2023,upi,5,
5,Meena,Mumbai,GROCERIES,,two,200,31-05-2023,UPI,10,Yes
6,Meena,Hyderabad,Clothing,Product-9,two,,14-07-2023,CASH,10,
7,,Kolkata,Clothing,Product-18,2,,09-01-2024,UPI,10,Yes
8,Kiran,Chennai,Groceries,Product-19,two,300,17-02-2024,upi,10%,NO
9,Divya,Delhi,GROCERIES,Product-19,4,300,15-03-2023,Cash,,NO
10,Anita,Hyderabad,GROCERIES,Product-14,5,100,16-02-2023,CASH,10%,
11,Ravi,Chennai,GROCERIES,Product-9,,,09-05-2023,Card,10%,No
,Kiran,Hyderabad,electronics,Product-10,,,21-08-2023,Cash,10,YES
13,,Bangalore,electronics,Product-1,1,300,26-01-2024,Card,10,Yes
14,Anita,Chennai,GROCERIES,Product-3,,250,04-05-2023,Cash,10%,
15,Rahul,Mumbai,electronics,Product-7,two,300,26-03-2023,,15,NO
16,Anita,Mumbai,Groceries,,1,250,05-04-2024,CASH,10,Yes
17,Ravi,Mumbai,Electronics,Product-11,1,250,06-02-2023,,10%,No
18,,Mumbai,,Product-14,2,100,04-10-2023,upi,15,NO
19,Ravi,Chennai,Electronics,Product-11,,100,30-07-2023,Cash,,NO
20,Kiran,,Groceries,Product-3,4,250,13-03-2023,,,Yes
21,Divya,Hyderabad,Furniture,Product-7,,450,11-05-2024,Cash,10%,Yes
22,,Delhi,Furniture,Product-18,two,,19-07-2023,Cash,15,No
23,,Bangalore,GROCERIES,Product-2,5,450,10-05-2024,CASH,10,Yes
24,Suresh,Chennai,electronics,,,200,06-05-2024,CASH,10,
,Anita,Kolkata,GROCERIES,Product-17,3,300,01-11-2023,,15,No
26,Kiran,,Clothing,Product-3,1,450,16-05-2023,CASH,5,Yes
27,Kiran,Hyderabad,Clothing,Product-8,3,300,03-10-2023,CASH,15,
28,Ravi,Delhi,GROCERIES,Product-5,3,100,18-02-2024,,,No
29,Divya,Pune,Groceries,Product-9,5,450,20-05-2023,UPI,5,NO
30,Ravi,Pune,,Product-9,2,,29-02-2024,,10%,
31,Suresh,Bangalore,,Product-18,2,450,05-01-2023,Card,15,Yes
32,Divya,Chennai,Clothing,Product-14,5,,05-04-2024,Cash,10,No
